provider,model,category,n_responses,n_oecd_url_referenced,oecd_url_referenced_rate
anthropic,claude-sonnet-4-6,authority_standard_setting,5,0,0.0
anthropic,claude-sonnet-4-6,comparative_peer,5,0,0.0
anthropic,claude-sonnet-4-6,data_statistics,6,4,0.6667
anthropic,claude-sonnet-4-6,generative_search_referral,3,0,0.0
anthropic,claude-sonnet-4-6,named_product_recall,5,0,0.0
anthropic,claude-sonnet-4-6,policy_recommendation,6,0,0.0
openai,gpt-4o,authority_standard_setting,5,0,0.0
openai,gpt-4o,comparative_peer,5,0,0.0
openai,gpt-4o,data_statistics,6,0,0.0
openai,gpt-4o,generative_search_referral,3,0,0.0
openai,gpt-4o,named_product_recall,5,0,0.0
openai,gpt-4o,policy_recommendation,6,0,0.0
